State,Division,Region,
Connecticut,New England,NORTHEAST,
Maine,New England,NORTHEAST,
Massachusetts,New England,NORTHEAST,
New Hampshire,New England,NORTHEAST,
Rhode Island,New England,NORTHEAST,
Vermont,New England,NORTHEAST,
New Jersey,Middle Atlantic,NORTHEAST,
New York,Middle Atlantic,NORTHEAST,
Pennsylvania,Middle Atlantic,NORTHEAST,
Illinois,East North Central,MIDWEST,
Indiana,East North Central,MIDWEST,
Michigan,East North Central,MIDWEST,
Ohio,East North Central,MIDWEST,
Wisconsin,East North Central,MIDWEST,
Iowa,West North Central,MIDWEST,
Kansas,West North Central,MIDWEST,
Minnesota,West North Central,MIDWEST,
Missouri,West North Central,MIDWEST,
Nebraska,West North Central,MIDWEST,
North Dakota,West North Central,MIDWEST,
South Dakota,West North Central,MIDWEST,
Delaware,South Atlantic,SOUTH,
District of Columbia,South Atlantic,SOUTH,
Florida,South Atlantic,SOUTH,
Georgia,South Atlantic,SOUTH,
Maryland,South Atlantic,SOUTH,
North Carolina,South Atlantic,SOUTH,
South Carolina,South Atlantic,SOUTH,
Virginia,South Atlantic,SOUTH,
West Virginia,South Atlantic,SOUTH,
Alabama,East South Central,SOUTH,
Kentucky,East South Central,SOUTH,
Mississippi,East South Central,SOUTH,
Tennessee,East South Central,SOUTH,
Arkansas,West South Central,SOUTH,
Louisiana,West South Central,SOUTH,
Oklahoma,West South Central,SOUTH,
Texas,West South Central,SOUTH,
Arizona,Mountain,WEST,
Colorado,Mountain,WEST,
Idaho,Mountain,WEST,
Montana,Mountain,WEST,
Nevada,Mountain,WEST,
New Mexico,Mountain,WEST,
Utah,Mountain,WEST,
Wyoming,Mountain,WEST,
Alaska,Pacific,WEST,
California,Pacific,WEST,
Hawaii,Pacific,WEST,
Oregon,Pacific,WEST,
Washington,Pacific,WEST,
